City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,59.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Chuy,UY,74.01,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
5,Mataura,NZ,59.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,Tabou,CI,86.36,scattered clouds,4.423,-7.3528,hotêl doufoulougou
8,Quang Ngai,VN,72.55,overcast clouds,15.1167,108.8,Central Hotel
11,Puerto Ayora,EC,72.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Codrington,AU,64.04,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
14,Alice Springs,AU,74.75,moderate rain,-23.7,133.8833,Desert Palms Alice Springs
16,Vaini,TO,80.83,overcast clouds,-21.2,-175.2,Keleti Beach Resort
20,Beitbridge,ZW,84.25,light rain,-22.2167,30.0,Beitbridge Express Hotel
25,Mahibadhoo,MV,82.72,broken clouds,3.7833,72.9667,Omadhoo Inn
27,Castro,BR,63.3,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Ponta Do Sol,PT,70.12,clear sky,32.6667,-17.1,Hotel do Campo
33,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
34,Sao Luiz Gonzaga,BR,75.2,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
35,Necochea,AR,81.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
37,Cairns,AU,80.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
40,Hobart,AU,61.27,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
42,Mahajanga,MG,84.6,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
43,Kalmunai,LK,80.78,scattered clouds,7.4167,81.8167,VS Villa
44,Biak,ID,78.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
45,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
50,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
51,Malindi,KE,81.39,overcast clouds,-3.2175,40.1191,African House Resort
53,Gisborne,NZ,62.01,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
57,Manggar,ID,80.35,overcast clouds,-2.8833,108.2667,Guest Hotel
59,Vohibinany,MG,82.45,light rain,-17.35,49.0333,
62,Bredasdorp,ZA,87.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
63,Libreville,GA,84.87,light rain,0.3925,9.4537,Le Méridien Re-Ndama
64,Kavieng,PG,81.07,light rain,-2.5744,150.7967,Nusa Island Retreat
66,Puri,IN,79.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
68,Tutoia,BR,78.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
71,Namibe,AO,76.91,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
72,Neiafu,TO,81.95,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
73,Camabatela,AO,73.87,light rain,-8.1881,15.375,Pensão E Restaurantes
74,Hambantota,LK,81.7,scattered clouds,6.1241,81.1185,Bungalow 63
75,Saint-Philippe,RE,85.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
77,Isangel,VU,78.76,light rain,-19.55,169.2667,Tanna Lodge
78,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
79,Busselton,AU,69.08,clear sky,-33.65,115.3333,Observatory Guest House
80,Samarai,PG,81.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
85,Lebu,CL,59.27,few clouds,-37.6167,-73.65,Hostal Las Lilas
86,Mogadishu,SO,82.56,few clouds,2.0371,45.3438,Hotel Juba
90,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
91,Charters Towers,AU,77.25,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
93,Bengkulu,ID,79.16,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
94,Lagoa,PT,57.31,scattered clouds,39.05,-27.9833,Casa Das Faias
95,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Ratnapura,LK,84.25,broken clouds,6.6828,80.3992,Hotel Helenium
99,Lorengau,PG,80.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
100,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
102,Rawah,IQ,55.26,broken clouds,34.4816,41.9093,
103,Bonthe,SL,87.66,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
104,Whyalla,AU,77.45,few clouds,-33.0333,137.5833,Foreshore Motor Inn
105,Port Elizabeth,ZA,92.1,clear sky,-33.918,25.5701,39 On Nile Guest House
107,Tahta,EG,63.9,clear sky,26.7693,31.5021,shady waheed
108,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
109,Lashio,MM,56.43,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
110,La Plaine,DM,75.51,scattered clouds,15.3333,-61.25,Citrus Creek Plantation
111,Na Wa,TH,80.64,scattered clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
113,Corrente,BR,75.38,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
115,Capinota,BO,59.25,overcast clouds,-17.7167,-66.2333,Urbanización Villa Real
120,Srandakan,ID,79.34,overcast clouds,-7.9386,110.2506,Puri Brata
123,Port Alfred,ZA,81.23,few clouds,-33.5906,26.891,The Halyards Hotel
127,Guaruja,BR,75.27,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
128,Lithgow,AU,64.08,light rain,-33.4833,150.15,Zig Zag Motel Lithgow
131,Tura,IN,57.65,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
132,Adre,TD,81.0,clear sky,13.4667,22.2,
133,Davila,PH,75.18,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
136,Souillac,MU,87.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Faanui,PF,80.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
140,Sabang,ID,82.47,overcast clouds,5.8933,95.3214,Hotel Citra
143,Winneba,GH,91.87,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
146,Bajil,YE,85.51,broken clouds,15.0584,43.2851,فندق حضرموت
147,Taoudenni,ML,82.62,broken clouds,22.6783,-3.9836,
152,Zhob,PK,61.11,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
154,Buala,SB,80.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
158,Mount Isa,AU,74.97,light intensity shower rain,-20.7333,139.5,ibis Styles Mt Isa Verona
159,Kaitangata,NZ,56.71,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
163,Lata,PT,64.72,scattered clouds,40.1629,-8.3327,Casa Maquia
165,Kondagaon,IN,72.46,clear sky,19.6,81.6667,AYAN MOTER
166,Qandala,SO,78.4,scattered clouds,11.472,49.8728,
167,Vao,NC,79.81,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
169,Dingle,PH,77.95,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
170,Thinadhoo,MV,82.44,overcast clouds,0.5333,72.9333,
171,Hilo,US,67.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
172,Kimparana,ML,90.09,scattered clouds,12.8347,-4.9244,
173,Araouane,ML,84.0,scattered clouds,18.9048,-3.5265,
174,Tres Arroyos,AR,73.22,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
175,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
177,Itarema,BR,75.2,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
181,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
183,New Norfolk,AU,60.71,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
184,La Romana,DO,71.33,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
186,Barra Patuca,HN,73.63,broken clouds,15.8,-84.2833,
188,Coruripe,BR,84.65,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
189,Lethem,GY,78.42,broken clouds,3.3803,-59.7968,Savannah Inn
190,Carutapera,BR,76.71,overcast clouds,-1.195,-46.02,Lidera
191,Tiznit,MA,68.59,few clouds,29.5833,-9.5,
193,Bayana,IN,67.84,clear sky,26.9,77.2833,Raj Hotel
194,Poum,NC,81.01,overcast clouds,-20.2333,164.0167,Gîte kajeon
196,Road Town,VG,77.04,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
198,Manjacaze,MZ,88.56,broken clouds,-24.7117,33.8828,Hotel Gani
200,Charlestown,AU,73.69,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
201,Concepcion Del Uruguay,AR,74.98,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
202,Nhulunbuy,AU,81.21,light rain,-12.2333,136.7667,East Arnhem Real Estate
203,Kieta,PG,80.2,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
204,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
