City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-01-29 20:41:04,42.097,-79.2353,17.29,49,0,5.99
1,Simao,CN,2022-01-29 20:46:03,22.7886,100.9748,44.35,56,0,1.9
2,Butaritari,KI,2022-01-29 20:46:03,3.0707,172.7902,82.11,76,25,19.89
3,Suntar,RU,2022-01-29 20:46:04,62.1444,117.6319,-17.23,97,56,4.83
4,Lasa,IT,2022-01-29 20:46:04,46.6166,10.7002,44.06,60,3,8.55
5,Batagay-Alyta,RU,2022-01-29 20:46:05,67.8006,130.4114,-19.93,95,66,5.06
6,Faya,SA,2022-01-29 20:46:05,18.3851,42.4509,50.52,73,0,5.48
7,Tahe,CN,2022-01-29 20:46:05,52.3333,124.7333,-1.66,79,16,7.74
8,Macenta,GN,2022-01-29 20:46:06,8.5435,-9.471,74.75,24,88,3.24
9,Saint-Philippe,RE,2022-01-29 20:44:54,-21.3585,55.7679,76.59,85,55,9.06
10,Ushuaia,AR,2022-01-29 20:45:38,-54.8,-68.3,46.06,93,75,25.32
11,Tiznit,MA,2022-01-29 20:46:07,29.5833,-9.5,58.26,31,0,15.39
12,Poplar Bluff,US,2022-01-29 20:46:08,36.757,-90.3929,37.29,35,0,14.18
13,Zhigansk,RU,2022-01-29 20:46:08,66.7697,123.3711,-29.88,100,100,1.68
14,Placido De Castro,BR,2022-01-29 20:42:11,-10.3353,-67.1856,75.06,98,100,1.01
15,Kargil,IN,2022-01-29 20:46:09,34.5667,76.1,-5.28,99,98,2.35
16,Diffa,NE,2022-01-29 20:46:09,13.3154,12.6113,65.16,21,39,11.56
17,Nanortalik,GL,2022-01-29 20:46:09,60.1432,-45.2371,19.78,65,100,12.53
18,Northam,GB,2022-01-29 20:46:10,51.0333,-4.2167,47.01,88,80,8.39
19,Naze,JP,2022-01-29 20:46:10,28.3667,129.4833,56.79,78,100,13.96
20,Punta Arenas,CL,2022-01-29 20:42:10,-53.15,-70.9167,53.71,43,75,24.16
21,Albany,US,2022-01-29 20:41:21,42.6001,-73.9662,16.59,62,100,1.99
22,Hermanus,ZA,2022-01-29 20:46:11,-34.4187,19.2345,65.8,76,3,13.76
23,San Patricio,US,2022-01-29 20:42:11,28.017,-97.5169,66.61,25,54,5.39
24,Nikolskoye,RU,2022-01-29 20:46:12,59.7035,30.7861,26.87,85,100,14.97
25,Cape Town,ZA,2022-01-29 20:41:48,-33.9258,18.4232,72.01,71,20,4.0
26,Kapaa,US,2022-01-29 20:43:40,22.0752,-159.319,78.78,72,0,3.0
27,Mahebourg,MU,2022-01-29 20:46:12,-20.4081,57.7,80.89,78,40,9.22
28,Avarua,CK,2022-01-29 20:46:13,-21.2078,-159.775,82.45,78,20,9.22
29,Upernavik,GL,2022-01-29 20:46:14,72.7868,-56.1549,1.8,93,100,8.5
30,Atuona,PF,2022-01-29 20:46:14,-9.8,-139.0333,77.72,75,18,13.67
31,Saint-Louis,SN,2022-01-29 20:46:14,16.3333,-15.0,81.05,17,100,11.34
32,Tasiilaq,GL,2022-01-29 20:42:25,65.6145,-37.6368,14.16,76,94,6.64
33,East London,ZA,2022-01-29 20:46:15,-33.0153,27.9116,72.01,80,83,10.71
34,Bayan,CN,2022-01-29 20:46:15,46.0833,127.4,-1.03,97,100,5.01
35,Balabac,PH,2022-01-29 20:46:16,7.9868,117.0645,79.0,79,57,2.51
36,Severo-Kurilsk,RU,2022-01-29 20:46:16,50.6789,156.125,23.59,77,90,18.97
37,Tabuk,PH,2022-01-29 20:46:17,17.4189,121.4443,71.31,91,55,2.33
38,New Norfolk,AU,2022-01-29 20:46:17,-42.7826,147.0587,60.93,62,23,1.68
39,Pevek,RU,2022-01-29 20:46:18,69.7008,170.3133,-18.06,99,82,3.44
40,Norman Wells,CA,2022-01-29 20:42:19,65.282,-126.8329,-21.96,69,20,3.44
41,Ostrovnoy,RU,2022-01-29 20:46:18,68.0531,39.5131,12.7,88,99,13.15
42,Waiuku,NZ,2022-01-29 20:46:19,-37.25,174.75,73.26,68,4,1.97
43,Rikitea,PF,2022-01-29 20:46:19,-23.1203,-134.9692,77.32,73,100,10.71
44,Mataura,NZ,2022-01-29 20:46:19,-46.1927,168.8643,57.36,93,100,2.57
45,Guerrero Negro,MX,2022-01-29 20:46:20,27.9769,-114.0611,71.19,29,8,12.35
46,Vaini,TO,2022-01-29 20:46:20,-21.2,-175.2,81.46,78,100,16.84
47,Cabo San Lucas,MX,2022-01-29 20:46:21,22.8909,-109.9124,79.61,56,23,5.99
48,Shimoda,JP,2022-01-29 20:46:21,34.6667,138.95,38.1,73,66,9.51
49,Weihai,CN,2022-01-29 20:46:22,37.5017,122.1136,31.91,48,54,13.89
50,Ambilobe,MG,2022-01-29 20:47:22,-13.2,49.05,74.1,95,65,1.5
51,Sitka,US,2022-01-29 20:47:23,57.0531,-135.33,37.29,87,100,19.57
52,Igarka,RU,2022-01-29 20:47:23,67.4667,86.5833,1.22,95,100,12.48
53,Carnarvon,AU,2022-01-29 20:43:49,-24.8667,113.6333,77.07,83,84,10.36
54,Vila Velha,BR,2022-01-29 20:47:24,-20.3297,-40.2925,84.15,82,20,15.01
55,Qaanaaq,GL,2022-01-29 20:42:33,77.484,-69.3632,0.36,64,100,11.1
56,Guarapari,BR,2022-01-29 20:47:24,-20.6667,-40.4975,84.09,75,76,19.08
57,Padang,ID,2022-01-29 20:47:25,-0.9492,100.3543,76.53,90,66,3.65
58,Ancud,CL,2022-01-29 20:47:25,-41.8697,-73.8203,69.33,84,53,12.39
59,Port Alfred,ZA,2022-01-29 20:46:32,-33.5906,26.891,70.18,83,46,12.37
60,Tiksi,RU,2022-01-29 20:47:26,71.6872,128.8694,-8.61,99,53,4.79
61,Busselton,AU,2022-01-29 20:47:27,-33.65,115.3333,67.05,91,5,14.34
62,Mar Del Plata,AR,2022-01-29 20:47:27,-38.0023,-57.5575,84.22,89,0,18.99
63,Itambacuri,BR,2022-01-29 20:47:27,-18.0311,-41.685,78.03,79,100,4.41
64,Khatanga,RU,2022-01-29 20:47:23,71.9667,102.5,-4.34,99,100,5.53
65,Perene,PE,2022-01-29 20:47:28,-10.9492,-75.2261,81.91,71,100,5.17
66,Souillac,MU,2022-01-29 20:47:17,-20.5167,57.5167,80.98,78,40,9.22
67,Caravelas,BR,2022-01-29 20:47:28,-17.7125,-39.2481,79.68,80,0,10.56
68,Henties Bay,NA,2022-01-29 20:44:56,-22.116,14.2845,63.86,82,46,5.84
69,Moron,AR,2022-01-29 20:47:29,-34.6534,-58.6198,84.94,51,60,8.79
70,Lata,PT,2022-01-29 20:47:29,40.1629,-8.3327,55.81,52,0,5.21
71,Egvekinot,RU,2022-01-29 20:47:30,66.3167,-179.1667,-6.32,65,12,2.59
72,Puri,IN,2022-01-29 20:47:31,19.8,85.85,55.92,41,36,4.92
73,Lebu,CL,2022-01-29 20:47:04,-37.6167,-73.65,64.4,76,2,10.96
74,Port Elizabeth,ZA,2022-01-29 20:47:31,-33.918,25.5701,68.29,83,100,10.36
75,Gat,IL,2022-01-29 20:47:32,31.61,34.7642,49.41,100,0,2.93
76,Chuy,UY,2022-01-29 20:47:32,-33.6971,-53.4616,74.12,61,18,11.32
77,Tuktoyaktuk,CA,2022-01-29 20:47:32,69.4541,-133.0374,-9.4,77,75,14.97
78,Puerto Madryn,AR,2022-01-29 20:47:33,-42.7692,-65.0385,79.48,38,55,14.27
79,Baykit,RU,2022-01-29 20:47:33,61.67,96.37,-2.51,100,99,0.78
80,Moose Factory,CA,2022-01-29 20:47:34,51.2585,-80.6094,1.4,60,0,9.22
81,Kaitangata,NZ,2022-01-29 20:44:42,-46.2817,169.8464,56.39,93,100,4.25
82,Puerto Ayora,EC,2022-01-29 20:47:20,-0.7393,-90.3518,80.56,71,28,9.35
83,Lagunas,PE,2022-01-29 20:47:34,-5.2269,-75.6753,92.03,45,100,4.68
84,Morris,US,2022-01-29 20:44:07,40.8334,-74.5329,17.8,63,100,5.99
85,Castro,BR,2022-01-29 20:45:21,-24.7911,-50.0119,60.17,99,100,6.11
86,Morehead,US,2022-01-29 20:47:36,37.2711,-87.1764,36.1,53,75,4.0
87,Chokurdakh,RU,2022-01-29 20:47:36,70.6333,147.9167,-13.09,88,100,1.61
88,Ixtapa,MX,2022-01-29 20:47:37,20.7,-105.2,86.32,38,1,8.19
89,Vanimo,PG,2022-01-29 20:47:38,-2.6741,141.3028,76.08,89,100,7.49
90,Walvis Bay,NA,2022-01-29 20:43:23,-22.9575,14.5053,64.09,77,10,10.36
91,Murray Bridge,AU,2022-01-29 20:47:38,-35.1167,139.2667,68.43,72,0,4.52
92,Lompoc,US,2022-01-29 20:48:39,34.6391,-120.4579,69.19,40,0,0.0
93,Santa Rosa,PH,2022-01-29 20:46:06,14.3122,121.1114,80.11,89,3,2.39
94,Meiktila,MM,2022-01-29 20:48:39,20.8667,95.8667,59.05,54,0,3.71
95,Bilibino,RU,2022-01-29 20:48:39,68.0546,166.4372,-4.36,87,100,2.8
96,Vestmannaeyjar,IS,2022-01-29 20:48:40,63.4427,-20.2734,40.37,67,100,18.05
97,Adrar,MR,2022-01-29 20:48:40,20.5022,-10.0711,78.67,11,100,10.65
98,Lavrentiya,RU,2022-01-29 20:47:52,65.5833,-171.0,-3.82,83,3,4.07
99,Naberera,TZ,2022-01-29 20:48:41,-4.2,36.9333,64.4,90,100,6.26
100,Aklavik,CA,2022-01-29 20:48:04,68.2191,-135.0107,-15.77,76,75,3.44
101,Kirensk,RU,2022-01-29 20:48:41,57.7853,108.1119,-20.42,100,98,1.23
102,Kitami,JP,2022-01-29 20:48:42,43.8031,143.8908,15.12,87,36,5.46
103,Saint George,US,2022-01-29 20:46:04,37.1041,-113.5841,64.87,17,0,1.01
104,Dajal,PK,2022-01-29 20:48:42,29.5577,70.3762,56.39,32,31,6.85
105,Tooele,US,2022-01-29 20:48:43,40.5308,-112.2983,43.63,75,0,4.61
106,Tateyama,JP,2022-01-29 20:48:44,34.9833,139.8667,41.05,81,69,14.12
107,Thompson,CA,2022-01-29 20:48:44,55.7435,-97.8558,-0.24,71,40,5.75
108,Teknaf,BD,2022-01-29 20:48:44,20.8624,92.3058,55.54,75,0,9.53
109,Preetz,DE,2022-01-29 20:48:45,54.2333,10.2833,45.03,77,100,34.52
110,Verkhnevilyuysk,RU,2022-01-29 20:48:45,63.4453,120.3167,-17.43,98,89,5.44
111,Makakilo City,US,2022-01-29 20:48:46,21.3469,-158.0858,79.12,57,0,11.5
112,Sassandra,CI,2022-01-29 20:48:46,4.95,-6.0833,79.77,86,23,6.85
113,Hithadhoo,MV,2022-01-29 20:48:47,-0.6,73.0833,80.87,67,89,3.11
114,Poprad,SK,2022-01-29 20:48:47,49.0614,20.298,32.67,87,75,20.0
115,Bengkulu,ID,2022-01-29 20:47:57,-3.8004,102.2655,75.88,91,100,4.25
116,Bathsheba,BB,2022-01-29 20:48:34,13.2167,-59.5167,81.21,65,40,17.27
117,Erenhot,CN,2022-01-29 20:48:47,43.6475,111.9767,7.34,89,100,5.26
118,Khoy,IR,2022-01-29 20:48:48,38.5504,44.9535,15.33,79,34,5.19
119,Torbay,CA,2022-01-29 20:48:48,47.6666,-52.7314,33.58,91,100,21.85
120,College,US,2022-01-29 20:48:49,64.8569,-147.8028,-12.33,75,40,0.0
121,Clyde River,CA,2022-01-29 20:48:49,70.4692,-68.5914,-5.57,59,100,11.5
122,Kodiak,US,2022-01-29 20:48:50,57.79,-152.4072,33.31,60,0,25.32
123,Inirida,CO,2022-01-29 20:46:51,3.8653,-67.9239,90.91,39,94,2.37
124,Ahipara,NZ,2022-01-29 20:48:00,-35.1667,173.1667,68.52,63,65,8.95
125,Bluff,NZ,2022-01-29 20:46:36,-46.6,168.3333,58.39,88,100,6.85
126,Alofi,NU,2022-01-29 20:48:51,-19.0595,-169.9187,82.29,83,75,6.91
127,Tautira,PF,2022-01-29 20:47:12,-17.7333,-149.15,82.42,74,100,14.07
128,Flinders,AU,2022-01-29 20:48:51,-34.5833,150.8552,74.17,85,100,5.01
129,Tocopilla,CL,2022-01-29 20:48:52,-22.092,-70.1979,68.81,72,5,5.28
130,Sibiti,CG,2022-01-29 20:48:52,-3.6819,13.3499,71.29,96,96,2.33
131,Luderitz,NA,2022-01-29 20:48:53,-26.6481,15.1594,67.57,80,73,8.81
132,Swift Current,CA,2022-01-29 20:48:53,50.2834,-107.8014,29.21,74,0,10.36
133,Geraldton,AU,2022-01-29 20:48:54,-28.7667,114.6,68.41,94,0,6.91
134,Beringovskiy,RU,2022-01-29 20:48:54,63.05,179.3167,-11.65,100,97,3.38
135,Port Hardy,CA,2022-01-29 20:48:54,50.6996,-127.4199,46.76,87,100,20.71
136,Hobart,AU,2022-01-29 20:45:01,-42.8794,147.3294,61.27,70,100,1.99
137,Shaoyang,CN,2022-01-29 20:48:55,27.2315,111.4525,34.84,91,98,0.78
138,Serendah,MY,2022-01-29 20:48:55,3.3646,101.6041,78.58,91,96,1.97
139,Saint Anthony,US,2022-01-29 20:49:56,45.0205,-93.218,28.83,60,0,3.0
140,Aksu,CN,2022-01-29 20:49:56,41.1231,80.2644,26.38,46,100,3.89
141,Bambous Virieux,MU,2022-01-29 20:49:56,-20.3428,57.7575,80.85,78,40,9.22
142,Saint-Georges,GD,2022-01-29 20:49:57,12.0564,-61.7485,83.88,65,20,20.71
143,Awbari,LY,2022-01-29 20:49:57,26.5921,12.7805,49.33,33,15,5.68
144,Mana,GF,2022-01-29 20:49:58,5.6592,-53.7767,78.64,78,98,8.72
